Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
TCTT,29,Vai trò giảm bớ t chi phí giao dịch của trung gian tài chính chủ yếu đ ến từ:,Việc không cần hệ thống công nghệ và nhân sự .,Việc loại b ỏ hoàn toàn hợ p đồng và chứng từ.,Quy mô hoạt động l ớn và tính chuyên nghiệp cao.,Việc ch ỉ giao dịch bằng tiền mặ t.,Quy mô hoạt động l ớn và tính chuyên nghiệp cao.
TCTT,30,Vai trò giảm chi phí thông tin của trung gian tài chính th ể hiện rõ nhất ở việc:,Không thực hiện th ẩm định trước khi cấp v ốn.,Không cần thông tin khi ra quyế t định cho vay.,Chỉ dự a vào cảm tính và quan hệ cá nhân.,"Thu thậ p, xử lý thông tin hiệ u quả hơn nh ờ kinh nghiệm và chuyên môn trong lĩnh vực tài chính–ti ền tệ.","Thu thậ p, xử lý thông tin hiệ u quả hơn nh ờ kinh nghiệm và chuyên môn trong lĩnh vực tài chính–ti ền tệ."
TCTT,31,Vai trò kích thích và t ập trung ngu ồn vốn nh ỏ lẻ của trung gian tài chính thể hiện ở:,Loại bỏ hoàn toàn cơ chế huy động v ốn.,"Tạo niềm tin và giả m rủi ro, từ đó khuyến khích hộ gia đình/cá nhân tiết kiệm và gử i vốn.",Khuyến khích người dân không tiết kiệ m để tăng tiêu dùng.,Chỉ tập trung v ốn của một nhà đầu tư duy nhất.,"Tạo niềm tin và giả m rủi ro, từ đó khuyến khích hộ gia đình/cá nhân tiết kiệm và gử i vốn."
TCTT,32,Mở rộng quan hệ hợp tác quốc tế của trung gian tài chính thư ờng gắn với:,Việc c ấm thanh toán quốc tế.,Chỉ giao dịch nội địa bằng tiền mặt.,"Nhu cầu thực hiện h ợp đồng, giao dịch với đối tác nước ngoài trong điều kiện kinh tế mở .",Chỉ tập trung vào th ị trường phi chính thức.,"Nhu cầu thực hiện h ợp đồng, giao dịch với đối tác nước ngoài trong điều kiện kinh tế mở ."
TCTT,33,Qu ỹ đầu tư tương hỗ được mô tả đúng nhất là:,Tổ ch ức chỉ mua bán ngoại tệ giao ngay.,Tổ ch ức chỉ nhận tiền gửi không kỳ hạn và không đầu tư.,Tổ ch ức phát hành ti ền pháp định.,"Tổ chức trung gian huy động vốn của nhiều nhà đầu tư để đầu tư theo danh mụ c chứng khoán, theo nguyên tắc phân tán đầu tư.","Tổ chức trung gian huy động vốn của nhiều nhà đầu tư để đầu tư theo danh mụ c chứng khoán, theo nguyên tắc phân tán đầu tư."
TCTT,34,Công ty b ảo hi ểm là tổ ch ức tiết kiệm theo hợ p đồng vì:,Nguồn vốn chỉ hình thành từ ngân sách nhà nước.,Nguồn vốn huy động chủ yếu từ phát hành cổ phiếu ưu đãi ngắn h ạn.,Nguồn vốn hình thành chủ yếu từ vay nóng không chính thức.,"Nguồ n vốn huy động chủ yếu từphí bảo hi ểm và phân phối thành chi trả bồi thư ờng, lập dự phòng nghiệp vụ, hoạt động đầu tư.","Nguồ n vốn huy động chủ yếu từphí bảo hi ểm và phân phối thành chi trả bồi thư ờng, lập dự phòng nghiệp vụ, hoạt động đầu tư."
TCTT,35,Qu ỹ hưu trí được hiểu đúng nhất là:,Định chế tài chính phổ biến ở các nước phát triển; có th ể do tư nhân (do doanh nghiệp lớn lập) hoặc công cộng (do Chính phủ qu ản lý).,Hợ p đồng mua lại repo.,Công c ụ ngoại hối trao ngay.,Công c ụ nợ ngắn hạ n do ngân hàng trung ương phát hành.,Định chế tài chính phổ biến ở các nước phát triển; có th ể do tư nhân (do doanh nghiệp lớn lập) hoặc công cộng (do Chính phủ qu ản lý).
TCTT,36,Ngân hàng Trung ương (NHTW) là:,Doanh nghiệp tài chính chuyên kinh doanh chứng khoán vì mục tiêu lợ i nhuận.,Định chế quản lý nhà nước về tiền và chính sách tiền tệ trong phạm vi cả nước nhằm ổn định giá trị đồng tiền.,Tổ ch ức trung gian thanh toán tư nhân hoạt động không chịu điều tiết.,Tổ ch ức tín dụng phi ngân hàng chỉ thực hiện cho vay tiêu dùng.,Định chế quản lý nhà nước về tiền và chính sách tiền tệ trong phạm vi cả nước nhằm ổn định giá trị đồng tiền.
TCTT,37,Chứ c năng phát hành tiền của NHTW thểhi ện trư ớc hết ở:,Quyền phát hành trái phiếu doanh nghiệp để huy động vốn dài hạn.,Quyền phát hành ch ứng quyền kèm cổ phiếu.,Quyền độc quyề n phát hành giấ y bạc ngân hàng và tiền kim loại.,Quyền phát hành cổ phiếu của các ngân hàng thương mại.,Quyền độc quyề n phát hành giấ y bạc ngân hàng và tiền kim loại.
TCTT,38,Một kênh phát hành tiền của NHTW là:,Bán hàng hóa dự trữ quốc gia ra thị trường.,Thu thu ế xuất nhập khẩu để tăng cung tiền.,Cấp phát ngân sách không hoàn lại cho doanh nghiệp.,Cho vay các NHTM và các tổ ch ức tín dụng.,Cho vay các NHTM và các tổ ch ức tín dụng.
TCTT,39,Ngân hàng của các ngân hàng là ch ức năng trong đó NHTW th ực hiện:,Bảo lãnh phát hành cổ phiếu ra công chúng.,Môi gi ới chứng khoán cho nhà đầu tư cá nhân.,Kinh doanh ngoại thương và logistics cho doanh nghiệ p.,Quản lý tài khoả n và nhận tiền gử i của các NHTM và tổ ch ức tín dụng.,Quản lý tài khoả n và nhận tiền gử i của các NHTM và tổ ch ức tín dụng.
TCTT,40,Tài khoản ti ền gửi thanh toán tại NHTW có ý nghĩa chủ yếu là:,Bảo đả m khả năng chi trả giữa các ngân hàng trong toàn hệ thống ngân hàng.,Là cơ s ở để phát hành cổ phiếu ngân hàng.,Tạo vốn chủ sở hữu cho NHTM.,Thay thế hoàn toàn dự trữ bắt buộc.,Bảo đả m khả năng chi trả giữa các ngân hàng trong toàn hệ thống ngân hàng.
TCTT,42,Ch ức năng t ổ chức thanh toán không dùng ti ền m ặt của NHTW được thực hiện chủ yếu thông qua:,Thanh toán tiền mặt trự c tiếp giữa doanh nghiệp với doanh nghiệp.,Thanh toán bù trừ trong toàn hệ thống ngân hàng.,Trao đổi hàng– hàng không qua tiền tệ.,Thanh toán bằng hiệ n vật theo đ ịnh mứ c.,Thanh toán bù trừ trong toàn hệ thống ngân hàng.
TCTT,43,Ngân hàng nhà nước được hiểu là ch ức năng NHTW:,Thự c hiện quản trị doanh nghiệ p cho toàn b ộ NHTM.,Kinh doanh bán lẻ như một ngân hàng thương mại đa năng.,Trự c tiếp sả n xuất hàng hóa và cung ứng dị ch vụ công ích.,"Xây dự ng và thực thi các chính sách tiền tệ quốc gia; quản lý ho ạt động tiền tệ, tín dụng và ngân hàng đối nội, đối ngoại.","Xây dự ng và thực thi các chính sách tiền tệ quốc gia; quản lý ho ạt động tiền tệ, tín dụng và ngân hàng đối nội, đối ngoại."
TCTT,44,"Nếu NHTW tăng trần lãi suất cho vay (giữ các yếu tố khác không đổi), kênh tác động được mô tả phù hợp nhất là:","Làm thay đổi động cơ vay vố n/đầu tư, từ đó tác động đến tổ ng cầu tín dụng và lượng phương tiện thanh toán.",Chỉ làm thay đ ổi số lượng tiền kim loại phát hành.,Làm tăng dự trữ ngoại hối ngay lập tứ c.,Không thểtác động đến tín dụng vì là công cụ trự c tiếp.,"Làm thay đổi động cơ vay vố n/đầu tư, từ đó tác động đến tổ ng cầu tín dụng và lượng phương tiện thanh toán."
TCTT,45,Nh ận định nào ph ản ánh đúng m ối quan hệ giữa “bán ch ứng khoán” và “cơ số tiền tệ” trong nghiệp vụ thị trường m ở?,Bán chứng khoán làm thu hẹp cơ số ti ền tệ.,Bán chứng khoán làm tăng cơ số tiền tệ.,Bán chứng khoán không ảnh hư ởng cơ số ti ền tệ.,Bán chứng khoán chỉ làm tăng tín dụng và tăng cơ số tiền tệ.,Bán chứng khoán làm thu hẹp cơ số ti ền tệ.
TCTT,46,"NHTW mu ốn “bơm ti ền” vào hệ thống ngân hàng nhanh nhất, biện pháp phù hợp là:",Tăng tỷ lệ dự trữ bắt buộc.,Bán chứng khoán trên thị trường mở .,Mua chứng khoán trên thị trường mở .,Tăng lãi suất tái chi ết khấu.,Mua chứng khoán trên thị trường mở .
TCTT,47,Công cụ gián tiếp nào tác động đ ến cung ti ền thông qua giới hạn kh ả năng m ở rộng tiền gửi là:,Tỷ lệ dự trữ bắt buộ c.,Chính sách đối với ngân sách.,Trần lãi suất tiền gửi.,Hạn mứ c tín dụng.,Tỷ lệ dự trữ bắt buộ c.
TCTT,48,NHTW thực hiện tái chiết kh ấu thương phi ếu/trái phi ếu chính ph ủ (giấy tờ có giá) để cung ứng tiền. Nhận đ ịnh đúng nhất là:,Đây là cơ chế tín dụng ngắ n hạn và gắn với công cụ “lãi suất tái chiết khấu/tái cấp vốn”.,Đây là hoạt động thanh toán bù trừ liên ngân hàng.,Đây là hoạt động trao đổi hàng hóa không qua tiền tệ.,Đây là hoạt động phát hành cổ phiếu doanh nghiệp.,Đây là cơ chế tín dụng ngắ n hạn và gắn với công cụ “lãi suất tái chiết khấu/tái cấp vốn”.
TCTT,49,"NHTW muốn “ ổn định giá trị đồng tiền” trong điều ki ện cung tiền tăng quá nhanh, l ựa chọn phù hợp nhất là:","Sử dụng công cụ gián tiếp (như bán chứng khoán trên thị trường mở , tăng dự trữ bắt buộc hoặc tăng lãi suất tái chiết khấ u) để thu h ẹp cung tiền.",Mở rộng hạn mứ c tín dụng tối đa cho mọi NHTM.,Mua chứng khoán quy mô lớ n và giả m dự trữ bắt buộc đồ ng thờ i.,Cho NSNN vay không hạn chế để mở rộng phương tiện thanh toán.,"Sử dụng công cụ gián tiếp (như bán chứng khoán trên thị trường mở , tăng dự trữ bắt buộc hoặc tăng lãi suất tái chiết khấ u) để thu h ẹp cung tiền."
TCTT,49,NHTW quy đ ịnh h ạn m ức tín dụng tối đa cho từng NHTM. Công c ụ này được phân loại là:,Công c ụ thuộc chính sách thương mại.,Công c ụ trự c tiếp của chính sách tiền tệ.,Công c ụ thuộc chính sách tài khóa.,Công c ụ gián ti ếp của chính sách tiền tệ.,Công c ụ trự c tiếp của chính sách tiền tệ.
TCTT,50,NHTW điều tiết lượng tiền cung ứng thông qua việc mua/bán tín phi ếu kho b ạc nhà nước. Công c ụ được sử dụng là:,Hạn mứ c tín dụng.,Chính sách đối với ngân sách.,Nghiệp vụ thị trường mở .,Tỷ giá c ố định (không kèm can thiệp).,Nghiệp vụ thị trường mở .
TCTT,51,Điền t ừ còn thi ếu vào ch ố chấm: “Tỷ giá hối đoái là quan hệ ………. giữa hai ……… của hai quốc gia với nhau.”,trao đổi / hàng hóa,so sánh / nền kinh tế,so sánh / tiền tệ,cân đối / nền kinh tế,so sánh / tiền tệ
TCTT,52,Điền t ừ còn thi ếu vào chố chấm: “T ỷ giá hối đoái là ………. của đơn v ị tiền tệ nước này th ể hiện bằng ………… tiền tệ nước kia.”,mứ c giá / nhiều loại,giá trị / đơn vị,giá cả / một số,quan hệ / đơn vị,giá cả / một số
TCTT,53,"Trong trường hợp ngân hàng thay m ặt khách hàng chuyển ngo ại tệ đến người thụ hưởng bằng phương pháp chuyển tiền đi ện tín, ngân hàng áp dụ ng loại tỷ giá nào?",Tỷ giá hối đoái chéo,Tỷ giá điện hối,Tỷ giá mua bán,Tỷ giá tiền mặt,Tỷ giá điện hối
TCTT,54,"Trong trường hợp ngân hàng bán hối phi ếu ngân hàng trả tiền ngay cho khách hàng và người được chuyển như ợng xuất trình hối phi ếu để nhận tiền ngay, ngân hàng áp dụ ng loại tỷ giá nào?",Tỷ giá hối phiếu trả tiền ngay,Tỷ giá hối đoái chéo,Tỷ giá tiền mặt,Tỷ giá hối phiếu trả sau,Tỷ giá hối phiếu trả tiền ngay
TCTT,55,"Trong trường hợp ngân hàng bán hối phi ếu ngân hàng trả tiền ch ậm cho khách hàng và người được chuyển như ợng chỉ xuất trình hối phi ếu khi đến hạn thanh toán, ngân hàng áp dụng loại t ỷ giá nào?",Tỷ giá hối phiếu trả ngay,Tỷ giá hối phiếu trả sau,Tỷ giá ti ền mặt,Tỷ giá chuyển ti ền điện,Tỷ giá hối phiếu trả sau
TCTT,56,"Điền t ừ còn thiếu vào chỗ chấm: ““Khi so sánh m ức chênh l ệch lạm phát giữa hai quốc gia, quốc gia có m ức lạm phát ……… thì đồ ng ti ền của quốc gia đó có s ức mua ……….”",cao hơn / thấp hơn,thấp hơn / thấp hơn,tương đương / không đổi,cao hơn / cao hơn,cao hơn / thấp hơn
TCTT,57,Phát bi ểu nào sau đây KHÔNG phù hợ p với quy lu ật cung – cầu trong xác đ ịnh giá ngoại tệ trên thị trường tài chính?,"Khi cung ngoại tệ vượt quá cầu ngoại tệ, giá ngoại tệ có xu hướng giảm.","Khi cầu ngoại tệ vượt quá cung ngoại tệ, giá ngoại tệ có xu hướng giảm.","Khi cầu ngoại tệ vượt quá cung ngoại tệ, giá ngoại tệ có xu hướng tăng.",Ngoại tệ là một loại hàng hóa đặ c biệt và ch ịu sự tác động của quy luật cung – cầu.,"Khi cầu ngoại tệ vượt quá cung ngoại tệ, giá ngoại tệ có xu hướng giảm."
TCTT,58,"Theo tác động của lãi suất ng ắn hạn đ ến tỷ giá hối đoái, khi m ột quốc gia có mức lãi suất ng ắn h ạn cao hơn các quốc gia khác, hiện tượng nào sau đây có kh ả năng xảy ra?",Lãi suất chiết kh ấu tăng làm tỷ giá hối đoái có xu hướng tăng.,Lãi suất chiết kh ấu tăng làm tỷ giá hối đoái có xu hướng giảm.,Lãi suất chiết kh ấu tăng không ảnh hư ởng đến tỷ giá hối đoái.,"Lãi suất chiết kh ấu chỉ ảnh hư ởng đến lạ m phát, không ảnh hư ởng đến tỷ giá.",Lãi suất chiết kh ấu tăng làm tỷ giá hối đoái có xu hướng giảm.
TCTT,60,"Trong khuôn kh ổ chính sách hối đoái (chính sách thị trường m ở), khi Ngân hàng Trung ương cung ngoại hối ra th ị trường, tác động chủ yếu nào sau đây đ ối với tỷ giá hối đoái có khả năng xảy ra?",Làm tỷ giá hối đoái có xu hướng giảm.,Không ảnh hư ởng đến tỷ giá hố i đoái.,Làm tỷ giá hối đoái có xu hướng tăng.,Chỉ ảnh hư ởng đế n dự trữ ngoại hối.,Làm tỷ giá hối đoái có xu hướng giảm.
TCTT,61,"Điền t ừ còn thi ếu vào ch ố chấm: “Hối phi ếu đòi n ợ là m ột m ệnh lệnh đòi ti ền vô điều ki ện của người ký phát hối phi ếu cho người khác, yêu c ầu người này khi nhìn th ấy hối phi ếu hoặc đến ………… ho ặc một ngày có th ể xác định trong tương lai phải trả ………… cho m ột người nào đó ho ặc theo lệnh của người này trả cho một người khác ho ặc trả cho người cầm phi ếu.”",một th ời điểm trả tiền / một nghĩa vụ tài chính,một kỳ hạn xác định / một giá trị thanh toán,một ngày cụ thể nhất định / m ột số tiền nhất định,một th ời hạn thanh toán / một khoản tiền theo yêu cầu,một ngày cụ thể nhất định / m ột số tiền nhất định
TCTT,62,Đặc điểm nào dư ới đây KHÔNG phải là đặc điểm của hối phi ếu đòi nợ ?,Tính trừ u tượng,Tính độ c lập pháp lý,Tính bắt buộc tr ả tiền,Tính lưu thôn,Tính độ c lập pháp lý
TCTT,63,“Trên hối phi ếu không c ần phải ghi nội dung quan hệ tín dụng mà chỉ cần ghi số tiền phải trả và nh ững nội dung liên quan đến việc trả tiền” ph ản ánh đ ặc điểm nào của hối phi ếu đòi n ợ?,Tính trừ u tượng,Tính độ c lập pháp lý,Tính lưu thông,Tính bắt buộc tr ả tiền,Tính trừ u tượng
TCTT,64,"“Ngư ời trả tiền hối phi ếu phả i thanh toán theo đúng nội dung ghi trên hối phi ếu và không được phép t ừ chối trả tiền vì b ất kỳ lý do nào, trừ trường hợp hối phi ếu được lập trái với quy đ ịnh của pháp lu ật” ph ản ánh đ ặc điểm nào của hối phi ếu đòi nợ ?",Tính bắt buộc tr ả tiền,Tính trừ u tượng,Tính chuyển như ợng,Tính lưu thông,Tính bắt buộc tr ả tiền
TCTT,65,Đâu KHÔNG phải là quy đ ịnh v ề hình th ức của hối phi ếu đòi n ợ trong thanh toán quố c tế?,Không được viết bằng bút chì hoặc m ực dễ phai,Chỉ được lập bằng một ngôn ngữ xác định.,Phải được lập thành văn bản.,Phải ghi rõ nội dung quan hệ tín dụng.,Phải ghi rõ nội dung quan hệ tín dụng.
