Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
Phần 3: Hoạch định công suất,35,Công suất tính theo máy móc thiết bị là gì?,Số lượng máy móc,Khả năng sản xuất của máy móc thiết bị và dây chuyền trong một đơn vị thời gian,Diện tích nhà xưởng,Số lượng nhân công,Khả năng sản xuất của máy móc thiết bị và dây chuyền trong một đơn vị thời gian
Phần 3: Hoạch định công suất,36,Công suất thực tế là gì?,Công suất thiết kế,Khối lượng sản phẩm đạt được trong điều kiện hoạt động thực tế,Công suất tối đa,Công suất tối thiểu,Khối lượng sản phẩm đạt được trong điều kiện hoạt động thực tế
Phần 3: Hoạch định công suất,37,Tại sao cần hoạch định công suất?,Để tăng chi phí,Tránh lãng phí do sử dụng không hết năng lực sản xuất,Để giảm chất lượng,Để tăng tồn kho,Tránh lãng phí do sử dụng không hết năng lực sản xuất
Phần 3: Hoạch định công suất,38,Hoạch định công suất cần xem xét yếu tố nào?,Điều kiện và giới hạn của năng lực sản xuất,Chỉ chi phí,Chỉ doanh thu,Chỉ lợi nhuận,Điều kiện và giới hạn của năng lực sản xuất
Phần 3: Hoạch định công suất,39,Mục tiêu của hoạch định công suất là gì?,Vừa đáp ứng nhu cầu hiện tại vừa thích ứng với biến động tương lai,Chỉ đáp ứng nhu cầu hiện tại,Chỉ đáp ứng nhu cầu tương lai,Giảm công suất,Vừa đáp ứng nhu cầu hiện tại vừa thích ứng với biến động tương lai
Phần 3: Hoạch định công suất,40,Phương pháp phân tích hòa vốn giúp gì?,Tăng chi phí,Giảm doanh thu,Lựa chọn phương án tối ưu về chi phí và hiệu quả,Tăng tồn kho,Lựa chọn phương án tối ưu về chi phí và hiệu quả
Phần 3: Hoạch định công suất,41,Nhà quản trị ưa thích rủi ro có đặc điểm gì?,Tránh rủi ro,Sẵn sàng chấp nhận rủi ro cao để đạt lợi nhuận tối đa,Trung lập với rủi ro,Không quan tâm đến rủi ro,Sẵn sàng chấp nhận rủi ro cao để đạt lợi nhuận tối đa
Phần 3: Hoạch định công suất,42,Giá trị thông tin hoàn hảo là gì?,Giá trị tối thiểu,Mức giá tối đa doanh nghiệp sẵn sàng trả để có thông tin chắc chắn,Giá trị trung bình,Giá trị không xác định,Mức giá tối đa doanh nghiệp sẵn sàng trả để có thông tin chắc chắn
Phần 4: Định vị và bố trí sản xuất,43,Khi nào doanh nghiệp nên di dời địa điểm?,Khi doanh thu tăng,Khi chi phí giảm,Khi nhân công tăng,Đóng cửa cơ sở cũ và chuyển sang địa điểm mới,Đóng cửa cơ sở cũ và chuyển sang địa điểm mới
Phần 4: Định vị và bố trí sản xuất,44,Nguyên tắc định vị doanh nghiệp dịch vụ là gì?,Tối đa hóa chi phí,Cân đối giữa chi phí xã hội bỏ ra và mức độ thỏa mãn nhu cầu dịch vụ,Tối thiểu hóa doanh thu,Tối đa hóa khoảng cách,Cân đối giữa chi phí xã hội bỏ ra và mức độ thỏa mãn nhu cầu dịch vụ
Phần 4: Định vị và bố trí sản xuất,45,Tại sao định vị doanh nghiệp quan trọng?,Vì chi phí thấp,Do ảnh hưởng lâu dài và chi phí khắc phục rất lớn,Vì dễ thay đổi,Vì không ảnh hưởng đến hoạt động,Do ảnh hưởng lâu dài và chi phí khắc phục rất lớn
Phần 4: Định vị và bố trí sản xuất,46,Các yếu tố ảnh hưởng đến định vị doanh nghiệp là gì?,Dân số và lao động và cơ sở hạ tầng và chính sách địa phương,Chỉ dân số,Chỉ lao động,Chỉ cơ sở hạ tầng,Dân số và lao động và cơ sở hạ tầng và chính sách địa phương
Phần 4: Định vị và bố trí sản xuất,47,Định vị vi mô là gì?,Quyết định chọn vùng,Quyết định chọn địa điểm cụ thể của doanh nghiệp,Quyết định chọn quốc gia,Quyết định chọn khu vực,Quyết định chọn địa điểm cụ thể của doanh nghiệp
Phần 4: Định vị và bố trí sản xuất,48,Phương pháp phân tích chi phí theo vùng giúp chọn địa điểm như thế nào?,Có tổng chi phí cao nhất,Có doanh thu thấp nhất,Có lợi nhuận thấp nhất,Có tổng chi phí thấp nhất tại mức sản lượng dự kiến,Có tổng chi phí thấp nhất tại mức sản lượng dự kiến
Phần 4: Định vị và bố trí sản xuất,49,Phương pháp tọa độ trung tâm được sử dụng khi nào?,Lựa chọn vị trí nhà máy,Lựa chọn vị trí văn phòng,Lựa chọn vị trí cửa hàng,Lựa chọn vị trí kho phân phối trung tâm,Lựa chọn vị trí kho phân phối trung tâm
Phần 4: Định vị và bố trí sản xuất,50,Bố trí sản xuất là gì?,Sắp xếp nhân sự,Sắp xếp tài chính,Sắp xếp marketing,Sắp xếp không gian các phương tiện vật chất phục vụ sản xuất,Sắp xếp không gian các phương tiện vật chất phục vụ sản xuất
Phần 4: Định vị và bố trí sản xuất,51,Bố trí theo quá trình phù hợp với loại sản xuất nào?,Sản xuất liên tục,Sản xuất hàng loạt,Sản xuất đơn chiếc,Sản xuất gián đoạn và nhiều chủng loại sản phẩm,Sản xuất gián đoạn và nhiều chủng loại sản phẩm
Phần 4: Định vị và bố trí sản xuất,52,Nhược điểm của bố trí theo sản phẩm là gì?,Kém linh hoạt khi sản phẩm hoặc sản lượng thay đổi,Chi phí cao,Năng suất thấp,Chất lượng kém,Kém linh hoạt khi sản phẩm hoặc sản lượng thay đổi
Phần 4: Định vị và bố trí sản xuất,53,Ưu điểm của bố trí theo quá trình là gì?,Khả năng điều chỉnh nhanh để thay đổi sản phẩm,Năng suất cao,Chi phí thấp,Chất lượng cao,Khả năng điều chỉnh nhanh để thay đổi sản phẩm
Phần 4: Định vị và bố trí sản xuất,54,Phương pháp đánh giá mối quan hệ hoạt động dùng để làm gì?,Đánh giá chi phí,Đánh giá doanh thu,Đánh giá lợi nhuận,Đánh giá mức độ cần thiết của sự gần nhau giữa các bộ phận,Đánh giá mức độ cần thiết của sự gần nhau giữa các bộ phận
Phần 4: Định vị và bố trí sản xuất,55,Mục tiêu của cân đối dây chuyền là gì?,Tăng thời gian chờ,Giảm năng suất,Tăng chi phí,Cân đối dây chuyền để các công việc có thời gian gần bằng nhau,Cân đối dây chuyền để các công việc có thời gian gần bằng nhau
Phần 5: Hoạch định tổng hợp,56,Hoạch định tổng hợp là gì?,Sử dụng kết hợp các nguồn lực để đảm bảo sản xuất ổn định và chi phí thấp và tồn kho tối thiểu,Chỉ hoạch định nhân sự,Chỉ hoạch định tài chính,Chỉ hoạch định marketing,Sử dụng kết hợp các nguồn lực để đảm bảo sản xuất ổn định và chi phí thấp và tồn kho tối thiểu
Phần 5: Hoạch định tổng hợp,57,Mục tiêu của hoạch định tổng hợp là gì?,Cân đối mức sản xuất và tồn kho để thỏa mãn nhu cầu thị trường dự báo,Tăng chi phí,Giảm chất lượng,Tăng tồn kho,Cân đối mức sản xuất và tồn kho để thỏa mãn nhu cầu thị trường dự báo
Phần 5: Hoạch định tổng hợp,58,Chiến lược thay đổi mức sản xuất là gì?,Giữ nguyên mức sản xuất,Điều chỉnh các nguồn lực để chạy theo mức cầu,Tăng tồn kho,Giảm nhân công,Điều chỉnh các nguồn lực để chạy theo mức cầu
Phần 5: Hoạch định tổng hợp,59,Chiến lược sản xuất ổn định có đặc điểm gì?,Thay đổi mức sản xuất liên tục,Đảm bảo sản xuất ổn định và không phải thay đổi lao động,Tăng chi phí,Giảm chất lượng,Đảm bảo sản xuất ổn định và không phải thay đổi lao động
Phần 5: Hoạch định tổng hợp,60,Chiến lược thay đổi nhân lực theo cầu là gì?,Giữ nguyên nhân lực,Tuyển thêm lao động khi cầu tăng và sa thải khi cầu giảm,Tăng lương,Giảm giờ làm,Tuyển thêm lao động khi cầu tăng và sa thải khi cầu giảm
Phần 5: Hoạch định tổng hợp,61,Khi nào nên áp dụng chiến lược thay đổi nhân lực?,Công việc phức tạp,Công việc đơn giản và không đòi hỏi tay nghề cao,Công việc đòi hỏi kỹ năng cao,Công việc nguy hiểm,Công việc đơn giản và không đòi hỏi tay nghề cao
Phần 5: Hoạch định tổng hợp,62,Nhược điểm của chiến lược làm thêm giờ là gì?,Chi phí lương ngoài giờ cao và giảm năng suất biên chế,Tăng chất lượng,Giảm chi phí,Tăng năng suất,Chi phí lương ngoài giờ cao và giảm năng suất biên chế
Phần 5: Hoạch định tổng hợp,63,Nhược điểm của chiến lược thuê gia công ngoài là gì?,Tăng chất lượng,Giảm chi phí,Tăng năng suất,Khó kiểm soát chất lượng và có nguy cơ mất khách hàng,Khó kiểm soát chất lượng và có nguy cơ mất khách hàng
Phần 5: Hoạch định tổng hợp,64,Nhược điểm của chiến lược thay đổi nhân lực là gì?,Biến động lao động cao và khó kiểm soát sản xuất,Tăng chất lượng,Giảm chi phí,Tăng năng suất,Biến động lao động cao và khó kiểm soát sản xuất
Phần 5: Hoạch định tổng hợp,65,Ưu điểm của chiến lược sản xuất sản phẩm hỗn hợp theo mùa là gì?,Tăng chi phí,Giảm chất lượng,Giảm năng suất,Sử dụng hết khả năng sản xuất và tăng sức cạnh tranh,Sử dụng hết khả năng sản xuất và tăng sức cạnh tranh
Phần 5: Hoạch định tổng hợp,66,Chiến lược đặt cọc trước có ưu điểm gì?,Tăng chi phí,Giảm chất lượng,Cân bằng cầu cung và tạo nguồn thu ổn định,Giảm năng suất,Cân bằng cầu cung và tạo nguồn thu ổn định
Phần 5: Hoạch định tổng hợp,67,Ưu điểm của chiến lược sản xuất ổn định là gì?,Tận dụng nguồn lực và ổn định việc làm cho người lao động,Tăng chi phí,Giảm chất lượng,Giảm năng suất,Tận dụng nguồn lực và ổn định việc làm cho người lao động
Phần 5: Hoạch định tổng hợp,68,Phương pháp hoạch định nhu cầu nguyên vật liệu là gì?,JIT,MRP và MRP II,Kanban,Six Sigma,MRP và MRP II
Phần 5: Hoạch định tổng hợp,69,Ưu điểm của phương pháp biểu đồ và phân tích chiến lược là gì?,Phức tạp,Tốn kém,Chi phí cao,Đơn giản và phản ánh cụ thể nhu cầu nguồn lực cho sản phẩm,Đơn giản và phản ánh cụ thể nhu cầu nguồn lực cho sản phẩm
Phần 5: Hoạch định tổng hợp,70,Khó khăn khi áp dụng phương pháp biểu đồ là gì?,Chi phí thấp,Đơn giản,Lựa chọn sản phẩm quy ước phù hợp,Dễ thực hiện,Lựa chọn sản phẩm quy ước phù hợp
Phần 5: Hoạch định tổng hợp,71,Mục tiêu của phương pháp cân bằng tối ưu là gì?,Tối đa hóa chi phí,Tối thiểu hóa doanh thu,Tối thiểu hóa lợi nhuận,Cực tiểu hóa tổng chi phí hoạch định,Cực tiểu hóa tổng chi phí hoạch định
Phần 5: Hoạch định tổng hợp,72,Kết luận về chiến lược hoạch định tổng hợp là gì?,Có một chiến lược tối ưu duy nhất,Không có chiến lược đơn lẻ nào tối ưu trong mọi tình huống,Chiến lược ổn định luôn tốt nhất,Chiến lược thay đổi luôn tốt nhất,Không có chiến lược đơn lẻ nào tối ưu trong mọi tình huống
