Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
CHƯƠNG 2,3,Giai cấp công nhân là người lao động gắn với nền sản xuất ?,Nông nghiệp,Thủ công nghiệp,Công nghiệp hiện đại,Đại nông nghiệp,Công nghiệp hiện đại
CHƯƠNG 2,4,Phạm trù trung tâm của XNXH khoa học là?,Giai cấp tư sản,Sứ mệnh lịch sử của giai cấp công nhân,Cách mạng tư sản,Giai cấp nông dân,Sứ mệnh lịch sử của giai cấp công nhân
CHƯƠNG 2,5,C.Mác và Ph.Ăngghen đã làm sáng tỏ sứ mệnh lịch sử của giai cấp nào trong phương thức sản xuất tư bản chủ nghĩa?,Giai cấp tư sản,Giai cấp nông dân,Giai cấp công nhân,Giai cấp nô lệ,Giai cấp công nhân
CHƯƠNG 2,6,"Tìm phương án sai, giai cấp công nhân VN có đặc điểm gì?",Ra đời vào đầu tk XX,Ra đời sau giai cấp tư sản VN,Phần lớn xuất thân từ giai cấp nông dân,Ra đời gắn liền với quá trình xâm lược của thực dân Pháp,Ra đời sau giai cấp tư sản VN
CHƯƠNG 2,7,Tìm phương án sai về giai cấp công nhân VN?,Ra đời vào đầu tk XX,Ra đời trước giai cấp tư sản VN,Ra đời sau giai cấp tư sản VN,Là sản phẩm của nền công nghiệp N,Ra đời trước giai cấp tư sản VN
CHƯƠNG 2,8,Đặc trưng về vị trí của giai cấp công nhân trong quan hệ sản xuất tư bản chủ nghĩa thể hiện ntn?,Là giai cấp sở hữu phần lớn tư liệu sản xuất của xã hội.,"Giai cấp không có tư liệu sản xuất, phải bán sức lao động cho nhà tư bản.",Có vai trò trực tiếp trong sản xuất nền nông nghiệp có tính chất công nghiệp hiện đại.,"Là những người trực tiếp hoặc dán tiếp vận hành những công cụ sản xuất có tính chất công nghiệp ngày càng hiện đại, có trình độ xã hội hóa cao.","Giai cấp không có tư liệu sản xuất, phải bán sức lao động cho nhà tư bản."
CHƯƠNG 2,9,điểm khác biệt cơ bản về sự ra đời của giai cấp công nhân VN là gì?,Giai cấp công nhân VN ra đời trước giai cấp tư sản VN.,Giai cấp công nhân VN ra đời sau giai cấp tư sản VN.,Giai cấp công nhân VN ra đời cùng giai cấp tư sản VN.,Giai cấp công nhân VN ra đời trước giai cấp tư sản Pháp.,Giai cấp công nhân VN ra đời trước giai cấp tư sản VN.
CHƯƠNG 2,10,"Điền từ thích hợp vào chỗ trống, Đại hội đại biểu toàn quốc lần thứ XII của Đảng khẳng định: “Coi trọng giữ vững bản chất ... và các nguyên tắc sinh hoạt Đảng”",Giai cấp công nhân,Giai cấp tư sản,Giai cấp nông dân,Tầng lớp trí thức,Giai cấp công nhân
CHƯƠNG 2,11,"Điền từ vào chỗ trống. Đại hội đại biểu toàn quốc lần thứ XII của Đảng khẳng định: “Chú trọng xây dựng, phát huy vai trò của... đáp ứng yêu cầu phát triển đất nước trong thời kỳ mới”","Giai cấp công nhân, giai cấp tư sản, giai cấp nông dân, đội ngũ trí thức","Giai cấp công nhân, giai cấp nông dân, đội ngũ trí thức, đội ngũ doanh nhân","Giai cấp nông dân, giai cấp tư sản, đội ngũ trí thức","Giai cấp nông dân, giai cấp tư sản, đội ngũ trí thức, tầng lớp thanh niên","Giai cấp công nhân, giai cấp nông dân, đội ngũ trí thức, đội ngũ doanh nhân"
CHƯƠNG 2,12,Chọn đáp án đúng nhất về nội dung về chính trị - xã hội của sứ mệnh lích sử của giai cấp công nhân Việt Nam?,"Giai cấp công nhân là lực lượng đi đầu trong sự nghiệp đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước.","Tăng cường sự lãnh đạo của Đảng, xây dựng chỉnh đốn Đảng, ngăn chặn đẩy lùi sự suy thoái về tư tưởng chính trị, đạo đức, lối sống, “tự diễn biến”, “tự chuyển hóa"".","Xây dựng nền văn hóa Việt Nam tiên tiến, đậm đà bản sắc dân tộc.",Tiếp thu tinh hoa văn hoá bên ngoài,"Tăng cường sự lãnh đạo của Đảng, xây dựng chỉnh đốn Đảng, ngăn chặn đẩy lùi sự suy thoái về tư tưởng chính trị, đạo đức, lối sống, “tự diễn biến”, “tự chuyển hóa""."
CHƯƠNG 2,13,"Hiện nay đội ngũ công nhân Việt Nam trong khu vực kinh tế nào là tiêu biểu, đóng vai trò nòng cốt nhất?",Khu vực kinh tế nhà nước,Khu vực kinh tế tư nhân,Khu vực kinh tế có vốn đầu tư từ nước ngoài,Khu vực kinh tế tư nhân và khu vực kinh tế có vốn đầu tư từ nước ngoài,Khu vực kinh tế nhà nước
CHƯƠNG 2,14,"Hiện nay ở Việt Nam, đội ngũ công nhân trong khu vực kinh tế nhà nước đóng vai trò như thế nào.","Nòng cốt, chủ đạo",Không cơ bản,Thủ yếu,Tất cả các đáp án,"Nòng cốt, chủ đạo"
CHƯƠNG 2,15,Nội dung về kinh tế của sứ mệnh lịch sử của giai cấp công nhân Việt Nam:,"Giai cấp công nhân là lực lượng đi đầu trong sự nghiệp đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước.","Tăng cường sự lãnh đạo của Đảng, xây dựng chỉnh đốn Đảng","Xây dựng nền văn hóa Việt Nam tiên tiến, đậm đà bản sắc dân tộc",Xây dựng con người mới xã hội chủ nghĩa.,"Giai cấp công nhân là lực lượng đi đầu trong sự nghiệp đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước."
CHƯƠNG 2,16,Sự biến đổi của giai cấp công nhân Việt Nam hiện nay:,"Tăng nhanh về số lượng và chất lượng, đa dạng về cơ cấu nghề nghiệp, nắm vững khoa học – công nghệ tiên tiến",Luôn luôn chịu ảnh hưởng của tâm lý tiểu nông,Tăng nhanh về số lượng và giảm chất lượng,Tất cả các đáp án,"Tăng nhanh về số lượng và chất lượng, đa dạng về cơ cấu nghề nghiệp, nắm vững khoa học – công nghệ tiên tiến"
CHƯƠNG 2,17,Tìm đáp án sai về giai cấp công nhân hiện nay?,Giai cấp công nhân vẫn đang là lực lượng sản xuất hàng đầu,Giai cấp công nhân vẫn bị giai cấp tư sản và chủ nghĩa tư bản bóc lột về giá trị thặng dư,Xung đột về lợi ích cơ bản giữa giai cấp tư sản và giai cấp công nhân vẫn còn tồn tại,Giai cấp công nhân hiện nay không bị bóc lột về giá trị thặng dư,Giai cấp công nhân hiện nay không bị bóc lột về giá trị thặng dư
CHƯƠNG 2,18,Tìm nội dung không đúng về giai cấp công nhân hiện nay?,Là lực lượng sản xuất hàng đầu của xã hội hiện đại.,Là giai cấp vẫn còn bị bóc lột về giá trị thặng dư,Là giai cấp có trình độ sản xuất thấp,Là giai cấp xung đột lợi ích với giai cấp tư sản,Là giai cấp có trình độ sản xuất thấp
CHƯƠNG 2,19,Điểm tương đồng giữa giai cấp công nhân hiện nay so với giai cấp công nhân truyền thống ở thế kỷ XIX:,Là lực lượng sản xuất hàng đầu của xã hội hiện đại,"Ở các nước tư bản chủ nghĩa, giai cấp công nhân bị giai cấp tư sản bóc lột giá trị thặng dư",Giai cấp công nhân là lực lượng đi đầu trong các cuộc đấu tranh cách mạng,Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 2,20,Điểm khác biệt cơ bản của giai cấp công nhân hiện nay và giai cấp công nhân trước đây là gì?,Giai cấp công nhân hiện nay có xu hướng trí tuệ hóa,Giai cấp công nhân hiện nay bị bóc lột về giá trị thặng dư,Giai cấp công nhân hiện nay xung đột lợi ích với giai cấp tư sản,Giai cấp công nhân hiện nay bị hao phí lao động chủ yếu là hao phí sức lực cơ bắp,Giai cấp công nhân hiện nay có xu hướng trí tuệ hóa
CHƯƠNG 2,21,Nội dung kinh tế trong sứ mệnh lịch sử của giai cấp công nhân trên thế giới hiện nay là gì?,"Ở các nước tư bản chủ nghĩa, mục tiêu đấu tranh lâu dài của giai cấp công nhân là giành chính quyền","Giai cấp công nhân tham gia trực tiếp vào quá trình sản xuất với công nghệ hiện đại, năng suất, chất lượng cao","Thực hiện các giá trị như lao động, sáng tạo, công bằng, dân chủ, bình đẳng, tự do",Đấu tranh bảo vệ nền tảng tư tưởng của Đảng cộng sản,"Giai cấp công nhân tham gia trực tiếp vào quá trình sản xuất với công nghệ hiện đại, năng suất, chất lượng cao"
CHƯƠNG 2,22,"Tìm phương án sai, đặc điểm của giai cấp công nhân Việt Nam:",Gắn bó mật thiết với các tầng lớp nhân dân lao động trong xã hội,Là một trong những lực lượng cơ bản tạo ra của cải vật chất cho xã hội,Ra đời trước giai cấp tư sản Việt Nam,Đối lập lợi ích với giai cấp nông dân và nhân dân lao động,Đối lập lợi ích với giai cấp nông dân và nhân dân lao động
CHƯƠNG 2,23,Những biến đổi của giai cấp công nhân Việt Nam hiện nay:,Tăng nhanh về số lượng và chất lượng,Đa dạng về cơ cấu nghề nghiệp,"Nắm vững khoa học – công nghệ tiên tiến, được đào tạo nghề theo chuẩn nghề nghiệp, học vấn, văn hóa",Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 2,24,Điền từ còn thiếu: Sứ mệnh lịch sử của giai cấp công nhân không phải là thay thế ...... bằng một........ khác mà là xóa bỏ triệt để chế độ tư hữu về tư liệu sản xuất,Chế độ sở hữu tư nhân – chế độ sở hữu tư nhân,Chế độ công hữu – chế độ công hữu,Chế độ công hữu – chế độ tư hữu,Chế độ bóc lột - chế độ tư hữu,Chế độ sở hữu tư nhân – chế độ sở hữu tư nhân
CHƯƠNG 2,25,Sự khác biệt của giai cấp công nhân hiện đại so với giai cấp công nhân truyền thống ở thế kỷ XIX là:,Bị chủ nghĩa tư bản bóc lột về giá trị thặng dư,Là lực lượng sản xuất hàng đầu của xã hội,Tồn tại xung đột giữa giai cấp tư sản và giai cấp công nhân,Công nhân hiện đại có xu hướng trí tuệ hóa,Công nhân hiện đại có xu hướng trí tuệ hóa
CHƯƠNG 2,26,Sự khác biệt của giai cấp công nhân hiện đại so với giai cấp truyền thống ở thế kỷ XIX là:,Bị chủ nghĩa tư bản bóc lột về giá trị thặng dư,Là lực lượng sản xuất hàng đầu của xã hội,Tồn tại xung đột giữa giai cấp tư sản và giai cấp công nhân,Hao phí lao động hiện đại chủ yếu là hao phí về trí lực chứ không còn thuần tây là hao phí sức lực cơ bắp,Hao phí lao động hiện đại chủ yếu là hao phí về trí lực chứ không còn thuần tây là hao phí sức lực cơ bắp
CHƯƠNG 2,27,"Để hoàn thành sử mệnh lịch sử, giai cấp công nhân tất yếu phải liên minh với giai cấp nào?",Tu sån,Nông dân,Tất cả các đáp án,Tiểu tư sản,Nông dân
CHƯƠNG 2,28,C.Mác và Ph.Ăngghen đã làm sáng tỏ sứ mệnh lịch sử của giai cấp nào trong phương thức sản xuất tư bản chủ nghĩa?,Giai cấp tư sản,Giai cấp nông dân,Giai cấp công nhân,Giai cấp nô lệ,Giai cấp công nhân
CHƯƠNG 2,29,"Điền từ còn thiếu: “Các giai cấp khác đều suy tàn và tiêu vong cùng với sự phát triển của đại công nghiệp, còn ....... lại là sản phẩm của bản thân nền đại công nghiệp”.",Giai cấp địa chủ,Giai cấp vô sản,Giai cấp tư sản,Giai cấp tiểu tư sản,Giai cấp vô sản
CHƯƠNG 2,30,Giai cấp công nhân hình thành và phát triển trong phương thức sản xuất nào?,Phương thức sản xuất chiếm hữu nô lệ,Phương thức sản xuất phong kiến,Phương thức sản xuất tư bản chủ nghĩa,Phương thức sản xuất xã hội chủ nghĩa,Phương thức sản xuất tư bản chủ nghĩa
CHƯƠNG 2,31,"Chọn từ thích hợp điền vào chỗ trống: “Tất cả các giai cấp khác đều suy tàn và tiêu vong cùng với sự phát triển của đại công nghiệp, còn giai cấp vô sản lại là ....... của bản thân nền đại công nghiệp”",Thành tựu,Sản phẩm,Nguồn gốc,Thành quả,Sản phẩm
CHƯƠNG 2,32,Điền từ vào chỗ trống: “Sự sụp đổ của ...... và thắng lợi của ....... đều là tất yếu như nhau”,Giai cấp tư sản - giai cấp vô sản,Giai cấp vô sản- giai cấp tư sản,Giai cấp tư sản- giai cấp nông dân,Giai cấp vô sản- giai cấp nông dân,Giai cấp tư sản - giai cấp vô sản
CHƯƠNG 2,33,Phương thức lao động của giai cấp công nhân trong nền sản xuất tư bản chủ nghĩa có đặc điểm gì?,Là giai cấp có lợi ích thống nhất với lợi ích của giai cấp tư sản,Là giai cấp duy nhất tạo ra của cải vật chất cho xã hội,Là những người lao động trực tiếp hay gián tiếp vận hành các công cụ sản xuất có tính chất công nghiệp ngày càng hiện đại và xã hội hóa cao,Là giai cấp sử dụng công cụ sản xuất lạc hậu,Là những người lao động trực tiếp hay gián tiếp vận hành các công cụ sản xuất có tính chất công nghiệp ngày càng hiện đại và xã hội hóa cao
CHƯƠNG 2,34,Vị trí của giai cấp công nhân trong quan hệ sản xuất tư bản chủ nghĩa:,Là giai cấp lao động chiếm số lượng ít trong xã hội,Là giai cấp không sở hữu tư liệu sản xuất chủ yếu của xã hội nên phải bán sức lao động cho nhà tư bản,Là giai cấp đại biểu cho trí tuệ của nhân loại,Là giai cấp chiếm phần lớn tư liệu sản xuất của xã hội.,Là giai cấp không sở hữu tư liệu sản xuất chủ yếu của xã hội nên phải bán sức lao động cho nhà tư bản
CHƯƠNG 2,35,"Chọn đáp án đúng nhất, nền sản xuất đại công nghiệp và phương thức sản xuất tiên tiến đã rèn luyện cho giai cấp công nhân những phẩm chất về",Tinh thần tự giác và đoàn kết,Ý thức cách mạng,Tinh thần hợp tác,"Tính tổ chức, kỷ luật lao động, tinh thần hợp tác và tâm lý lao động công nghiệp, tinh thần tự giác và đoàn kết","Tính tổ chức, kỷ luật lao động, tinh thần hợp tác và tâm lý lao động công nghiệp, tinh thần tự giác và đoàn kết"
CHƯƠNG 2,36,Trình độ trưởng thành của giai cấp công nhân trong cuộc đấu tranh chống chủ nghĩa tư bản được thể hiện:,Từ đấu tranh mang tính tự giác sang đấu tranh mang tính tự phát,Từ đấu tranh mang tính tự phát sang đấu tranh mang tính tự giác tiến đến trình độc cao nhất là đấu tranh chính trị,Chỉ tập trung đấu tranh duy nhất trên lĩnh vực kinh tế,Chỉ tập trung đấu tranh duy nhất trên lĩnh vực chính trị,Từ đấu tranh mang tính tự phát sang đấu tranh mang tính tự giác tiến đến trình độc cao nhất là đấu tranh chính trị
CHƯƠNG 2,37,"Lực lượng sản xuất xã hội hóa cao, ở trình độ phát triển hiện đại sẽ tạo ra cơ sở kinh tế để chấm dứt vĩnh viễn chế độ người bóc lột người dựa trên chế độ kinh tế nào?",Chế độ công hữu,Chế độ tư hữu,Chế độ sở hữu tư nhân,Tất cả các đáp án,Chế độ tư hữu
CHƯƠNG 2,38,Chủ nghĩa Mác-Lênin là hệ tư tưởng của giai cấp nào?,Giai cấp công nhân,Giai cấp nông dân,Giai cấp tư sản,Tầng lớp trí thức,Giai cấp công nhân
CHƯƠNG 2,39,Nhân tố chủ quan quan trọng nhất để giai cấp công nhân thực hiện thắng lợi sứ mệnh lịch sử của mình:,Sự phát triển của các phong trào công nhân,Sự ra đời của Đảng Cộng sản,Sự liên minh giữa giai cấp công nhân với giai cấp nông dân và các tầng lớp lao động khác,Địa vị kinh tế và địa vị chính trị- xã hội của giai cấp công nhân tạo,Sự ra đời của Đảng Cộng sản
CHƯƠNG 2,40,Điền từ còn thiếu trong nhận định của C.Mác và Ph.Ănghen: “Các giai cấp khác đều ...... cùng với sự phát triển của đại công của bản thân nền đại công nghiệp”.,Tiêu vong — ra đời,Suy tàn – ra đời,Suy tàn và tiêu vong – sản phẩm,Tiêu vong — con đẻ,Suy tàn và tiêu vong – sản phẩm
CHƯƠNG 2,41,"Đảng Cộng sản ra đời và đảm nhận vai trò lãnh đạo cách mạng, đánh dấu điều gì?",Giai cấp công nhân chỉ phát triển về lượng,Sự trưởng thành vượt bậc của giai cấp công nhân,Dự báo sự thắng lợi của giai cấp tư sản,Tất cả các đáp án,Sự trưởng thành vượt bậc của giai cấp công nhân
CHƯƠNG 2,42,"Trong thời kỳ đổi mới, sứ mệnh lịch sử của giai cấp công nhân Việt Nam là:",Lãnh đạo cách mạng thông qua Đảng Cộng sản Việt Nam,"Lực lượng đi đầu trong sự nghiệp công nghiệp hóa, hiện đại hóa đất nước",Lực lượng nòng cốt trong liên minh giai cấp công nhân với giai cấp nông dân và đội ngũ trí thức,Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 2,43,Đặc điểm về chính trị của giai cấp công nhân Việt Nam thể hiện như thế nào?,Còn mang nhiều tàn dư của tâm lý tiểu nông và tập quán của nông dân,Vươn lên đảm đương vai trò lãnh đạo cách mạnh ở nước ta và thực hiện sứ mệnh lịch sử của mình,Tuyệt đối trung thành với chủ nghĩa Mác – Lênin,Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 2,44,Giai cấp công nhân hiện nay có biến đổi và khác biệt gì so với giai cấp công nhân truyền thống ở thế kỷ XIX?,Có xu hướng trí tuệ hóa,Là công nhân tri thức,C.Hao phí lao động hiện đại chủ yếu là về trí lực chứ không thuần túy hao phí sức lực cơ bắp,Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 2,45,"Ở các nước tư bản chủ nghĩa, giai cấp nào là giai cấp nắm giữ về tư liệu sản xuất?",Giai cấp công nhân,Giai cấp tư sản,Địa chủ,Người lao động,Giai cấp tư sản
CHƯƠNG 2,46,"Tìm phương án trả lời sai, Đảng Cộng sản đại biểu cho lợi ích của ai ?",Giai cấp công nhân,Giai cấp vô sản,Giai cấp tư sản,Nhân dân lao động,Giai cấp tư sản
CHƯƠNG 2,47,Đặc điểm của giai cấp công nhân Việt Nam:,Ra đời và phát triển gắn liền với chính sách khai thác thuộc địa của thực dân Pháp,Ra đời trước giai cấp tư sản Việt Nam,Gắn bó mật thiết với các tầng lớp nhân dân lao động trong xã hội,Tất cả các đáp án,Tất cả các đáp án
