Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
CHƯƠNG 1,17,Động cơ diesel trên đầu máy thường truyền công suất đến bánh xe thông qua:,Hệ thống truyền động thuỷ lực hoặc truyền động điện,Truyền động xích,Dây curoa,Hộp số cơ khí trực tiếp,Hệ thống truyền động thuỷ lực hoặc truyền động điện
CHƯƠNG 1,18,Bộ phận truyền động trên đầu máy là bộ phận trung gian nối giữa:,Trục khuỷu động cơ và bánh xe chủ động của đầu máy,Cabin và giá chuyển hướng,Đầu máy và toa xe,Toa xe và đường ray,Trục khuỷu động cơ và bánh xe chủ động của đầu máy
CHƯƠNG 1,19,Một yêu cầu của bộ phận truyền động đầu máy là:,Không cần hiệu suất cao,Chỉ làm việc khi đầu máy đứng yên,Thay đổi được giá trị lực kéo và tốc độ đầu máy trong phạm vi rộng,Không cần thay đổi lực kéo,Thay đổi được giá trị lực kéo và tốc độ đầu máy trong phạm vi rộng
CHƯƠNG 1,20,Một ưu điểm của truyền động thủy lực là:,Trọng lượng rất lớn,"Kết cấu đơn giản, dễ bảo dưỡng sửa chữa",Giá thành luôn cao hơn điện,Không thích hợp vùng nhiệt đới,"Kết cấu đơn giản, dễ bảo dưỡng sửa chữa"
CHƯƠNG 1,21,Một nhược điểm của truyền động thủy lực là:,Hiệu suất luôn cao hơn điện,Không thể đảo chiều đầu máy,Không dùng dầu thủy lực,Hiệu suất thấp hơn truyền động điện,Hiệu suất thấp hơn truyền động điện
CHƯƠNG 1,22,Truyền động thủy lực thường ứng dụng cho đầu máy Diesel có công suất:,Rất lớn,Không phụ thuộc công suất,Chỉ siêu lớn,Nhỏ và trung bình,Nhỏ và trung bình
CHƯƠNG 1,23,Một ưu điểm của truyền động điện là:,Hiệu suất truyền động cao,Không cần điều khiển,Không cần máy phát điện,Giá thành thấp tuyệt đối,Hiệu suất truyền động cao
CHƯƠNG 1,24,Một nhược điểm của truyền động điện là:,Không thể tự động hóa,Không dùng cho đầu máy công suất lớn,Không có tính cơ động,"Trọng lượng lớn, giá thành cao","Trọng lượng lớn, giá thành cao"
CHƯƠNG 1,25,Truyền động điện thường được ứng dụng trên đầu máy Diesel công suất:,Rất nhỏ,Nhỏ,Lớn,Trung bình thấp,Lớn
CHƯƠNG 1,26,Toa xe đường sắt là đơn vị của đoàn tàu dùng để chở:,Hành khách hoặc hàng hóa,Chỉ nhiên liệu,Chỉ hàng hóa,Chỉ đầu máy,Hành khách hoặc hàng hóa
CHƯƠNG 1,27,"Theo công dụng, một loại toa xe khách là:",Toa mặt võng,Toa mặt bằng,Toa giường nằm mềm,Toa xitec,Toa giường nằm mềm
CHƯƠNG 1,28,"Toa xe có mui, thành cao ký hiệu là:",Xe G,Xe P,Xe H,Xe N,Xe G
CHƯƠNG 1,29,"Toa xe không mui, thành cao ký hiệu là:",Xe G,Xe H,Xe M,Xe P,Xe H
CHƯƠNG 1,30,"Toa xe không mui, thành thấp ký hiệu là:",Xe M,Xe N,Xe H,Xe G,Xe N
CHƯƠNG 1,31,Toa xe mặt bằng ký hiệu là:,Xe H,Xe MVT,Xe G,Xe M,Xe M
CHƯƠNG 1,32,Toa xe mặt võng ký hiệu là:,Xe M,Xe G,Xe P,Xe MVT,Xe MVT
CHƯƠNG 1,33,Toa xe bồn ký hiệu là:,Xe G,Xe P,Xe H,Xe N,Xe P
CHƯƠNG 1,3,4. Toa xe mặt bằng dùng chủ yếu để chở:,"Container, hàng nặng",Hàng dễ hỏng cần lạnh,Hành khách đường dài,Khí hóa lỏng,"Container, hàng nặng"
CHƯƠNG 1,3,5. Toa xe mặt võng dùng chủ yếu để chở:,"Thiết bị tự chạy, hàng siêu trường, siêu trọng",Hàng lỏng,Hàng rời,Động vật sống,"Thiết bị tự chạy, hàng siêu trường, siêu trọng"
CHƯƠNG 1,36,"Toa xe hàng kín có mui, thành cao thích hợp để chở:",Hàng dễ bị ảnh hưởng bởi thời tiết,Chỉ chất lỏng,Chỉ phương tiện tự chạy,Hàng siêu trường siêu trọng,Hàng dễ bị ảnh hưởng bởi thời tiết
CHƯƠNG 1,37,Toa xe bồn dùng chuyên chở chủ yếu:,Chất lỏng hoặc khí hóa lỏng,Hành khách,Container 40 feet,Hàng bao kiện khô,Chất lỏng hoặc khí hóa lỏng
CHƯƠNG 1,3,"8. Theo số trục, toa xe có thể được phân thành:",1 trục và 3 trục,5 trục và 7 trục,"2 trục, 4 trục, 6 trục",Chỉ 4 trục,"2 trục, 4 trục, 6 trục"
CHƯƠNG 1,3,"9. Theo quyền sở hữu, một loại toa xe là:",Toa xe của chủ hàng,Toa xe quân sự,Toa xe hạng sang,Toa xe điện,Toa xe của chủ hàng
CHƯƠNG 1,40,Toa xe liên vận quốc tế là toa:,Không có chủ,Chạy giữa nhiều quốc gia theo thỏa thuận,Chỉ thuộc tư nhân,Chỉ chạy nội địa,Chạy giữa nhiều quốc gia theo thỏa thuận
CHƯƠNG 1,41,Việc phân loại toa xe theo quyền sở hữu giúp:,Làm đẹp hệ thống,Quản lý và khai thác hiệu quả hơn,Tăng chi phí,Giảm số lượng tàu,Quản lý và khai thác hiệu quả hơn
CHƯƠNG 1,42,"Trong xu hướng hiện nay, việc phát triển toa xe của các doanh nghiệp ngoài ngành đường sắt nhằm mục đích:",Giảm số lượng hàng hóa,Tăng sự tham gia của doanh nghiệp và nâng cao hiệu quả vận tải,Giảm cạnh tranh,Loại bỏ đường sắt,Tăng sự tham gia của doanh nghiệp và nâng cao hiệu quả vận tải
CHƯƠNG 1,43,"Theo dạng liên kết giữa bộ phận chạy với bệ xe, toa xe có thể là:",Toa chạy lai,Toa kiểu giá xe hoặc giá chuyển hướng,Toa chạy điện,Toa khí nén,Toa kiểu giá xe hoặc giá chuyển hướng
CHƯƠNG 1,44,Một yêu cầu đối với số hiệu toa xe là:,Không cần phục vụ quản lý,Có thể trùng lặp giữa các loại,Chỉ cần đẹp mắt,"Ngắn gọn, biểu thị được chủng loại và đặc trưng cơ bản của toa xe","Ngắn gọn, biểu thị được chủng loại và đặc trưng cơ bản của toa xe"
CHƯƠNG 1,45,"Trong số hiệu toa khách, số thứ nhất dùng để chỉ:",Chủng loại toa xe khách,Khổ đường,Năm sản xuất,Số thứ tự đăng ký,Chủng loại toa xe khách
CHƯƠNG 1,46,"Trong số hiệu toa khách, số thứ ba dùng để chỉ:",Loại ghế ngồi,Trọng tải,Loại hàng hóa,Khổ đường,Khổ đường
CHƯƠNG 1,47,"Trong số hiệu toa khách, số thứ hai dùng để chỉ:",Loại hàng hóa,Đặc điểm cấu tạo của bầu dầu và giá chuyển hướng,Số thứ tự đắng ký toa xe,Khổ đường chạy,Đặc điểm cấu tạo của bầu dầu và giá chuyển hướng
CHƯƠNG 1,48,"Trong số hiệu toa hàng khổ 1000 mm, số thứ hai dùng để chỉ:",Trọng tải toa xe hàng,Số nhân viên phục vụ,Số trục,Tốc độ tối đa,Trọng tải toa xe hàng
CHƯƠNG 1,49,"Trong số hiệu toa hàng khổ 1000 mm, số thứ nhất dùng để chỉ:",Số thứ tự đăng ký toa xe,Trọng tải toa xe hàng,Chủng loại toa xe hàng,Khổ đường chạy,Chủng loại toa xe hàng
CHƯƠNG 1,50,"Trong số hiệu toa hàng khổ 1000 mm, số thứ ba dùng để chỉ:",Đặc điểm cấu tạo của bầu dầu và giá chuyển hướng,Chủng loại toa xe hàng,Số thứ tự đăng ký toa xe,Trọng tải toa xe hàng,Đặc điểm cấu tạo của bầu dầu và giá chuyển hướng
CHƯƠNG 1,51,Giá chuyển hướng là bộ phận:,Chỉ có ở đầu máy,Khung gầm lắp dưới toa xe,Dùng để phát điện,Nằm trên mui toa xe,Khung gầm lắp dưới toa xe
CHƯƠNG 1,52,Một công dụng của giá chuyển hướng là:,Hỗ trợ chuyển hướng khi tàu qua đoạn đường cong được dễ dàng,Chỉ dùng để treo hàng,Thay thế hoàn toàn hệ thống hãm,Tăng tiêu hao nhiên liệu,Hỗ trợ chuyển hướng khi tàu qua đoạn đường cong được dễ dàng
CHƯƠNG 1,53,Móc nối trên toa xe có chức năng chính là:,Tạo điện cho toa,Giảm chiều dài đoàn tàu,Làm mát hàng hóa,Liên kết cơ học giữa hai toa tàu,Liên kết cơ học giữa hai toa tàu
CHƯƠNG 1,54,Hệ thống hãm toa xe phổ biến nhất hiện nay tại Việt Nam là:,Hãm điện trở,Hãm tay thủ công hoàn toàn,Hãm từ trường trên mọi toa,Hãm khí nén tự động gió ép,Hãm khí nén tự động gió ép
CHƯƠNG 1,55,Khi người lái tàu bẻ tay hãm lớn về vị trí xả gió để:,Toa xe tự tách khỏi đoàn tàu,Phanh tự nhả,Đầu máy dừng phát điện,Hãm tàu,Hãm tàu
CHƯƠNG 1,56,Một ưu điểm của hãm khí nén tự động của tàu hoả là:,Chỉ hãm từng toa riêng lẻ,Không an toàn khi đứt tàu,Tàu tự động hãm tàu khi mất áp suất gió trong ống chính,Không dùng được cho đoàn tàu dài,Tàu tự động hãm tàu khi mất áp suất gió trong ống chính
CHƯƠNG 1,57,Hãm điện thường dùng cho:,Toa hàng kín,"Tàu điện, tàu cao tốc hoặc metro",Mọi toa xe hàng thông thường,Chỉ đầu máy hơi nước,"Tàu điện, tàu cao tốc hoặc metro"
CHƯƠNG 1,58,Hệ thống hãm tay trên toa xe thường dùng để:,Hãm bổ trợ hoặc hãm khi dồn đẩy tay,Tạo lực kéo chính,Điều hòa không khí,Thay thế hoàn toàn hãm khí nén,Hãm bổ trợ hoặc hãm khi dồn đẩy tay
CHƯƠNG 1,59,Toa xe mặt bằng có ưu điểm nổi bật là:,Chỉ chở được hàng lỏng,Không cần ràng buộc hàng hóa,Bốc dỡ dễ dàng từ nhiều phía,Bảo vệ hàng tuyệt đối khỏi thời tiết,Bốc dỡ dễ dàng từ nhiều phía
CHƯƠNG 1,60,Một yêu cầu an toàn đối với toa xe bồn chở khí hóa lỏng là:,Không cần kiểm soát áp suất,Không cần kiểm định,Chỉ cần sơn màu sáng,Có van an toàn và thiết bị chống nổ,Có van an toàn và thiết bị chống nổ
CHƯƠNG 1,61,Ưu điểm lớn nhất của vận tải hàng hoá bằng đường sắt là:,"Chở khối lượng lớn, tốc độ vận chuyển nhanh",Chi phí cao,Không an toàn,Tốc độ chậm,"Chở khối lượng lớn, tốc độ vận chuyển nhanh"
CHƯƠNG 1,62,Một trong những yếu tố ảnh hưởng đến tải trọng của tàu hàng là:,Thời gian trong ngày,Số lượng hành khách,Màu sơn toa tàu,Chất lượng đường ray,Chất lượng đường ray
CHƯƠNG 1,63,Tàu hàng cần tuân thủ lịch trình chạy để:,Đảm bảo an toàn và hiệu quả vận hành,Tránh sửa chữa,Tăng chi phí,Giảm tốc độ,Đảm bảo an toàn và hiệu quả vận hành
CHƯƠNG 1,64,Toa chở hàng rời trên tàu hỏa thường có đặc điểm:,Kín hoàn toàn,Dễ dàng đổ hàng ra ngoài,Không có cửa,Có mái che cố định,Dễ dàng đổ hàng ra ngoài
CHƯƠNG 1,65,"Khi xếp hàng lên tàu, cần chú ý điều gì nhất:",Tốc độ tàu,Màu sắc hàng hóa,Số lượng nhân viên,Phân bố tải trọng hợp lý,Phân bố tải trọng hợp lý
CHƯƠNG 1,66,Một lợi thế của vận tải đường sắt so với đường bộ là:,Không cần hạ tầng,Khối lượng vận chuyển lớn,Linh hoạt hơn,Vận chuyển hàng từ kho đến kho,Khối lượng vận chuyển lớn
CHƯƠNG 1,67,Tàu hỏa thích hợp nhất để vận chuyển:,"Hàng khối lượng lớn, cự ly dài",Hành khách cá nhân,Hàng nhỏ lẻ,"Hàng nhẹ, giá trị cao","Hàng khối lượng lớn, cự ly dài"
CHƯƠNG 1,68,Mức độ an toàn trong vận tải đường sắt là:,Không an toàn,Cao,Trung bình,Thấp,Cao
CHƯƠNG 1,69,Một ưu điểm môi trường của vận tải đường sắt là:,Gây ô nhiễm cao,Không thể sử dụng điện,Ít gây ô nhiễm môi trường,Tiêu hao nhiên liệu lớn,Ít gây ô nhiễm môi trường
CHƯƠNG 1,70,"Tỷ lệ đi, đến đúng giờ của tàu hỏa thường:",Cao,Thấp,Trung bình,Phụ thuộc hoàn toàn vào đường bộ,Cao
CHƯƠNG 1,71,Một lợi thế quan trọng của tàu hỏa trong logistics là:,Không cần quản lý,"Khả năng vận chuyển ổn định, ít gián đoạn",Không cần lịch trình,Không cần hạ tầng,"Khả năng vận chuyển ổn định, ít gián đoạn"
CHƯƠNG 1,72,Tàu hỏa góp phần phát triển kinh tế bằng cách:,Kết nối các vùng và giảm chi phí logistics,Hạn chế giao thương,Tăng chi phí vận chuyển,Giảm lưu thông hàng hóa,Kết nối các vùng và giảm chi phí logistics
CHƯƠNG 1,73,"So với đường hàng không, tàu hỏa có ưu điểm:",Linh hoạt hơn,Không cần ga,Nhanh hơn,Chi phí vận chuyển thấp hơn,Chi phí vận chuyển thấp hơn
CHƯƠNG 2,1,"Tà thuỷ là công trình nổi dùng để vận chuyển hàng hóa, hành khách chủ yếu trên:",Đường không,Đường bộ và đường sắt,Hầm ngầm,"Sông, hồ, biển","Sông, hồ, biển"
CHƯƠNG 2,2,"Theo vật liệu đóng tàu thuỷ, một loại tàu được nêu trong bài giảng là:",Tàu cao su,Tàu bê tông,Tàu gỗ,Tàu hợp kim titan,Tàu gỗ
CHƯƠNG 2,3,"Theo nguồn động lực, một loại tàu thuỷ trong bài giảng là:",Tàu chạy khí nén,Tàu chạy hybrid,Tàu buồm,Tàu chạy pin,Tàu buồm
CHƯƠNG 2,4,"Theo tính chất công tác, một loại tàu thuỷ được nêu là:",Tàu lai dắt,Tàu vận tảiống,Tàu xe điện,Tàu du lịch cáp treo,Tàu lai dắt
CHƯƠNG 2,5,"Theo loại hàng chuyên chở, một loại tàu thuỷ là:",Tàu chở container,Tàu chở khách đường ngắn,Tàu cứu hộ y tế,Tàu chở xi măng bộ,Tàu chở container
CHƯƠNG 2,6,"Theo phạm vi hoạt động, một loại tàu thuỷ là:",Tàu hoạt động trên cao nguyên,Tàu hoạt động trong hầm,Tàu hoạt động trên biển,Tàu hoạt động trên sa mạc,Tàu hoạt động trên biển
CHƯƠNG 2,7,Bộ phận chính tạo nên hình dạng và kết cấu của tàu thuỷ là:,Hầm hàng,Thượng tầng,Xích neo,Thân tàu,Thân tàu
CHƯƠNG 2,8,Mũi tàu thuỷ thường được thiết kế nhọn nhằm:,Tăng diện tích boong,Tăng sức nặng tàu,Dễ lắp neo hơn,Giảm sức cản của nước,Giảm sức cản của nước
CHƯƠNG 2,9,"Phần sau của tàu thuỷ, nơi thường đặt chân vịt và bánh lái là:",Mạn tàu,Đáy tàu,Đuôi tàu,Boong tàu,Đuôi tàu
CHƯƠNG 2,10,Hai bên của thân tàu thuỷ được gọi là:,Boong tàu,Két nước,Mạn tàu,Hầm hàng,Mạn tàu
CHƯƠNG 2,11,Phần dưới cùng của thân tàu thuỷ là:,Mũi tàu,Mạn tàu,Boong chính,Đáy tàu,Đáy tàu
CHƯƠNG 2,12,Boong tàu thuỷ là:,Khoang ballast,Buồng máy phụ,Khu vực để neo,"Mặt sàn trên cùng, nơi di chuyển và bố trí trang thiết bị","Mặt sàn trên cùng, nơi di chuyển và bố trí trang thiết bị"
CHƯƠNG 2,13,Dầm chính chạy dọc từ mũi đến đuôi tàu thuỷ được gọi là:,Keel,Rudder,Frames,Beams,Keel
CHƯƠNG 2,14,Các thanh ngang tạo nên hình dạng thân tàu thuỷ là:,Sườn tàu,Dầm dọc,Trục chân vịt,Ống dẫn xích,Sườn tàu
CHƯƠNG 2,15,Dầm phụ giúp tăng độ cứng vững của thân tàu thuỷ là:,Dầm ngang,Bulkhead,Hatch cover,Keel,Dầm ngang
CHƯƠNG 2,16,"Trên tàu thuỷ, khoang chứa nước ballast có chức năng chủ yếu là:",Chứa neo,Chứa hàng container,Chứa nhiên liệu,Giữ thăng bằng cho tàu,Giữ thăng bằng cho tàu
CHƯƠNG 2,17,Động cơ chính trên tàu biển hiện nay thường là:,Động cơ hơi nước,Động cơ xăng,Động cơ điện thuần túy,Động cơ diesel,Động cơ diesel
CHƯƠNG 2,18,Trục chân vịt trên tàu biển có chức năng:,Làm giảm mớn nước,Điều hướng tàu,Chứa dầu bôi trơn,Truyền lực từ động cơ đến chân vịt,Truyền lực từ động cơ đến chân vịt
CHƯƠNG 2,19,Bộ phận quay để đẩy tàu thuỷ đi là:,Xích neo,Neo,Chân vịt,Bánh lái,Chân vịt
CHƯƠNG 2,20,Bộ phận điều hướng cho tàu thuỷ là:,Hầm hàng,Bánh lái,Chân vịt,Boong tàu,Bánh lái
CHƯƠNG 2,21,Buồng lái (Bridge) trên tàu thuỷ là nơi:,Chứa hàng khô,Cất xích neo,Chứa nước dằn,Điều khiển tàu,Điều khiển tàu
CHƯƠNG 2,22,Mớn nước là khoảng cách theo phương thẳng đứng từ sống chính đến:,Đỉnh buồng lái,Đỉnh ống khói,Mạn boong,Mặt phẳng đường nước quanh tàu thuỷ,Mặt phẳng đường nước quanh tàu thuỷ
CHƯƠNG 2,23,Mỗi tàu thuỷ thường có số vị trí kẻ thước đo mớn nước là:,8 vị trí,4 vị trí,6 vị trí,10 vị trí,6 vị trí
CHƯƠNG 2,24,Mớn nước khi tàu thuỷ không chở hàng được gọi là:,Summer Draught,Tropical Draught,Light Draught,Loaded Draught,Light Draught
CHƯƠNG 2,25,Mớn nước khi tàu thuỷ chở đầy hàng được gọi là:,Loaded Draught,Midship Mark,Light Draught,Freeboard,Loaded Draught
CHƯƠNG 2,26,Thước mớn nước là dãy số đánh dấu trên thân tàu thuỷ dùng để cho biết:,Công suất động cơ,Chiều sâu từ mặt nước đến đáy tàu,Tốc độ tàu,Dung tích hàng,Chiều sâu từ mặt nước đến đáy tàu
CHƯƠNG 2,27,Một mục đích của thước mớn nước là:,Xác định cấp đăng kiểm,Kiểm tra tải trọng thực tế tàu đang chở,Xác định tuổi tàu,Xác định số thuyền viên,Kiểm tra tải trọng thực tế tàu đang chở
CHƯƠNG 2,28,Thước mớn nước thường đặt ở:,Chỉ buồng lái,"Hai bên mạn của mũi, giữa và đuôi tàu",Chỉ giữa thân tàu,Chỉ đuôi tàu,"Hai bên mạn của mũi, giữa và đuôi tàu"
CHƯƠNG 2,29,Vòng dấu chuyển chở còn được gọi là:,Vạch Plimsoll,Vạch DWT,Vạch Beam,Vạch LOA,Vạch Plimsoll
CHƯƠNG 2,30,Mục đích chính của vòng dấu chuyển chở là:,Đảm bảo tàu không bị chở quá tải,Xác định màu sơn thân tàu,Phân biệt tàu khách và tàu hàng,Đánh dấu hãng tàu,Đảm bảo tàu không bị chở quá tải
CHƯƠNG 2,31,Ký hiệu S trên vòng dấu chuyển chở của tàu biển biểu thị:,Mùa đông,Nước ngọt,Vùng nhiệt đới,Mùa hè,Mùa hè
CHƯƠNG 2,32,Ký hiệu WNA trên vòng dấu chuyển chở của tàu biển biểu thị:,Bắc Đại Tây Dương vào mùa đông,Nước ngọt nhiệt đới,Mùa hè vùng nhiệt đới,Mùa đông ở vùng nước ngọt,Bắc Đại Tây Dương vào mùa đông
CHƯƠNG 2,33,"Một trong những thống số của tàu thuỷ, LOA là viết tắt của:",Level of Air,Load of Anchor,Length Over All,Line of Asia,Length Over All
CHƯƠNG 2,34,Beam là thông số chỉ:,Chiều cao mạn,Chiều rộng lớn nhất của thân tàu thuỷ,Chiều dài toàn bộ,Mớn nước,Chiều rộng lớn nhất của thân tàu thuỷ
CHƯƠNG 2,35,Thông số DWT của tàu thuỷ phản ánh:,Tốc độ hành trình,Tổng dung tích kín,Trọng tải toàn phần tàu có thể chở,Diện tích boong,Trọng tải toàn phần tàu có thể chở
CHƯƠNG 2,36,Thông số GT của tàu thuỷ là chỉ tiêu phản ánh:,Độ sâu luồng chạy,Tổng dung tích khối của tàu,Tầm hoạt động,Trọng lượng nhiên liệu,Tổng dung tích khối của tàu
CHƯƠNG 2,37,Đơn vị của tốc độ hành trình tàu biển là:,knots (hải lý/giờ),hải lý/ngày,km/h,m/s,knots (hải lý/giờ)
CHƯƠNG 2,38,TEU là đơn vị dùng để chỉ:,Áp suất buồng hàng,Sức chở container 20 feet,Trọng lượng dầu,Chiều dài thân tàu,Sức chở container 20 feet
CHƯƠNG 2,39,Trọng tải tịnh DWCC của tàu thuỷ được hiểu là:,Tổng khối lượng nhiên liệu và nước,Dung tích boong chính,Khối lượng bản thân tàu,Khối lượng hàng hóa thương mại mà tàu có thể chở,Khối lượng hàng hóa thương mại mà tàu có thể chở
CHƯƠNG 2,40,Dung tích đăng ký tịnh NRT của tàu biển thường dùng để tính:,"Phí qua kênh đào, phí cảng, phí hoa tiêu",Tốc độ hành trình,Lực đẩy động cơ,Số xuồng cứu sinh,"Phí qua kênh đào, phí cảng, phí hoa tiêu"
CHƯƠNG 2,41,Boong chính của tàu biển là:,Boong cao nhất chạy suốt chiều dài tàu,Boong chứa nhiên liệu,Boong neo,Boong thấp nhất của tàu,Boong cao nhất chạy suốt chiều dài tàu
CHƯƠNG 2,42,Boong thượng của tàu biển thường là nơi đặt:,Chỉ két ballast,Trục chân vịt,"Cầu điều khiển, ống khói và thiết bị điều hướng",Hàng rời,"Cầu điều khiển, ống khói và thiết bị điều hướng"
CHƯƠNG 2,43,Boong lái (Bridge Deck) của tàu biển là:,Boong cao nhất trong cấu trúc thượng tầng của tàu,Boong chuyên chứa container lạnh,Boong thấp nhất dưới hầm hàng,Boong chỉ đặt neo,Boong cao nhất trong cấu trúc thượng tầng của tàu
CHƯƠNG 2,44,Kiến trúc thượng tầng của tàu biển là phần nằm:,Trong khoang ballast,Dưới đáy tàu,Phía trên boong chính,Trong hầm hàng,Phía trên boong chính
CHƯƠNG 2,45,Một bộ phận chính của kiến trúc thượng tầng của tàu biển là:,Phòng điều khiển tàu,Keel,Trục chân vịt,Két ballast,Phòng điều khiển tàu
CHƯƠNG 2,46,Hầm hàng của tàu biển là:,Khoang lái phụ,Buồng ở thuyền viên,Khoang trống bên trong thân tàu dùng để chứa hàng hóa,Khoang đặt neo,Khoang trống bên trong thân tàu dùng để chứa hàng hóa
CHƯƠNG 2,47,Thành hầm hàng (Bulkheads) của tàu biển có chức năng chủ yếu là:,Cố định bánh lái,Dẫn hướng xích neo,Tạo lực đẩy cho tàu,Phân chia hầm hàng thành các khoang riêng biệt,Phân chia hầm hàng thành các khoang riêng biệt
CHƯƠNG 2,48,Nắp hầm hàngc ủa tàu biển có tác dụng chủ yếu là:,Giữ tàu cân bằng,Tăng vận tốc tàu,Cố định container trên boong,"Chống nước, gió, bụi và bảo vệ hàng hóa","Chống nước, gió, bụi và bảo vệ hàng hóa"
CHƯƠNG 2,49,Hệ thống thoát nước của hầm hàng của tàu biển được gọi là:,Steering System,Fire Plan,Anchor System,Bilge System,Bilge System
CHƯƠNG 2,50,Hầm container có đặc điểm nổi bật là:,Có cell guides giữ container thẳng hàng,Chỉ chứa hàng lỏng,Không cần thông gió,Chỉ dùng cho tàu chở dầu,Có cell guides giữ container thẳng hàng
CHƯƠNG 2,51,Hầm tàu hàng lạnh (Reefer Hold) dùng để:,"Bảo quản thực phẩm, thuốc cần làm lạnh","Chứa than, quặng",Chứa dầu thô,Chứa container khô,"Bảo quản thực phẩm, thuốc cần làm lạnh"
CHƯƠNG 2,52,"Hàng lỏng như dầu, hóa chất, LNG thường được chứa trong:",Hầm container,Hầm hàng lỏng,Hầm hàng khô,Boong hở,Hầm hàng lỏng
CHƯƠNG 2,53,"Bộ phận chính nằm dưới nước phía sau tàu, dùng để điều khiển hướng là:",Ống luồn xích neo (Hawse pipe),Ống khói (Funnel),Chân vịt (Propeller shaft),Bánh lái (Rudder),Bánh lái (Rudder)
CHƯƠNG 2,54,Hệ truyền động phổ biến nhất của hệ thống lái tàu biển là:,Dây xích,Cơ khí thuần túy,Thủy lực,Khí nén,Thủy lực
CHƯƠNG 2,55,Máy neo (Windlass) của tàu biển dùng để:,Đóng nắp hầm,Bơm nước ballast,Điều khiển bánh lái,Thả và thu neo,Thả và thu neo
